variety,type,seller,days_to_maturity,in_stock,file
Adirondack Blue,waxy,Baker Creek,87,yes,/content/drive/MyDrive/potato_pictures/adirondack_blue.jpg
All Blue,all purpose,Burpee,90,no,/content/drive/MyDrive/potato_pictures/all_blue.jpg
Austrian Crescent,waxy,Baker Creek,100,yes,/content/drive/MyDrive/potato_pictures/austrian_crescent.jpg
Beauregard,starchy,"Burpee, Gurney's",90,yes,/content/drive/MyDrive/potato_pictures/beauregard.jpg
Burbank russet,starchy,"Baker Creek, Gurney's",120,yes,/content/drive/MyDrive/potato_pictures/burbank_russet.jpg
Canela russet,starchy,Gurney's,100,yes,/content/drive/MyDrive/potato_pictures/canela_russet.jpg
Carola,all purpose,Gurney's,80,yes,/content/drive/MyDrive/potato_pictures/carola.jpg
Centennial,starchy,Burpee,90,yes,/content/drive/MyDrive/potato_pictures/centennial.jpg
Covington,starchy,Gurney's,100,yes,/content/drive/MyDrive/potato_pictures/covington.jpg
French Fingerling,waxy,"Baker Creek, Gurney's",100,yes,/content/drive/MyDrive/potato_pictures/french_fingerling.jpg
Georgia Jet,starchy,"Burpee, Gurney's",90,yes,/content/drive/MyDrive/potato_pictures/georgia_jet.jpg
German Butterball,waxy,"Burpee, Gurney's",100,yes,/content/drive/MyDrive/potato_pictures/german_butterball.jpg
Goldrush ,starchy,Gurney's,120,yes,/content/drive/MyDrive/potato_pictures/goldrush.jpg
Harvest Moon,all purpose,Burpee,90,yes,/content/drive/MyDrive/potato_pictures/harvest_moon.jpg
Huckleberry Gold,waxy,Baker Creek,85,yes,/content/drive/MyDrive/potato_pictures/huckleberry_gold.jpg
Kennebec,all purpose,"Burpee, Gurney's",80,yes,/content/drive/MyDrive/potato_pictures/kennebec.jpg
Magic Molly,waxy,Burpee,110,yes,/content/drive/MyDrive/potato_pictures/magic_molly.jpg
Masquerade,waxy,Burpee,80,yes,/content/drive/MyDrive/potato_pictures/masquerade.jpg
Murasaki,starchy,"Burpee, Gurney's",100,yes,/content/drive/MyDrive/potato_pictures/murasaki.jpg
Nicola,waxy,Gurney's,105,yes,/content/drive/MyDrive/potato_pictures/nicola.jpg
Princess Laratte,waxy,Burpee,90,yes,/content/drive/MyDrive/potato_pictures/princess_laratte.jpg
Purple Majesty,all purpose,"Burpee, Gurney's",85,yes,/content/drive/MyDrive/potato_pictures/purple_majesty.jpg
Purple Viking,waxy,"Baker Creek, Gurney's",60,yes,/content/drive/MyDrive/potato_pictures/purple_viking.jpg
Red Gold,waxy,"Burpee, Gurney's",70,no,/content/drive/MyDrive/potato_pictures/red_gold.jpg
Red La Soda,waxy,Gurney's,95,yes,/content/drive/MyDrive/potato_pictures/red_la_soda.jpg
Red Pontiac,waxy,"Burpee, Gurney's",90,no,/content/drive/MyDrive/potato_pictures/red_pontiac.jpg
Rio Grande Russet,starchy,Burpee,85,yes,/content/drive/MyDrive/potato_pictures/rio_grande_russet.jpg
Russet Norkotah,starchy,Burpee,95,yes,/content/drive/MyDrive/potato_pictures/russet_norkotah.jpg
Sangre,all purpose,Baker Creek,65,no,/content/drive/MyDrive/potato_pictures/sangre.jpg
Vardaman,starchy,Burpee,100,yes,/content/drive/MyDrive/potato_pictures/vardaman.jpg
Yellow Finn,waxy,Baker Creek,120,yes,/content/drive/MyDrive/potato_pictures/yellow_finn.jpg
Yukon Gem,all purpose,Gurney's,65,yes,/content/drive/MyDrive/potato_pictures/yukon_gem.jpg
Yukon Gold,all purpose,"Burpee, Gurney's",80,yes,/content/drive/MyDrive/potato_pictures/yukon_gold.jpg
